"filename", "language", "Java", "Markdown", "ANTLR", "comment", "blank", "total"
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/ANTLR/ANTLRv4Lexer.java", "Java", -631, 0, 0, -16, -21, -668
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/ANTLR/ANTLRv4Parser.java", "Java", -4630, 0, 0, -4, -173, -4807
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/ANTLR/ANTLRv4ParserBaseListener.java", "Java", -136, 0, 0, -657, -4, -797
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/ANTLR/ANTLRv4ParserListener.java", "Java", -130, 0, 0, -509, -2, -641
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/ANTLR/LexBasic.java", "Java", -274, 0, 0, -4, -20, -298
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/Main.java", "Java", -23, 0, 0, -23, -13, -59
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/Options.java", "Java", -21, 0, 0, -6, -14, -41
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/Processor.java", "Java", -86, 0, 0, -12, -16, -114
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/README.md", "Markdown", 0, 0, 0, 0, -1, -1
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/Utils.java", "Java", -25, 0, 0, -6, -8, -39
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/resources/ANTLRv4Lexer.g4", "ANTLR", 0, 0, -222, -101, -79, -402
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/resources/ANTLRv4Parser.g4", "ANTLR", 0, 0, -233, -79, -67, -379
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/resources/LexBasic.g4", "ANTLR", 0, 0, -168, -56, -51, -275
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/resources/SQLite.g4", "ANTLR", 0, 0, -761, -45, -97, -903
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/dsqlancer/resources/test.g4", "ANTLR", 0, 0, -198, 0, -15, -213
"Total", "-", -5956, 0, -1582, -1518, -581, -9637
